2020-05-27 10:01:00,025+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=83, satisfiedCount=2, toleratingCount=1, frustratedCount=0}
2020-05-28 04:01:00,024+0000 category: jira.administration.project.summary, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2020-05-28 04:01:00,024+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=66, satisfiedCount=1, toleratingCount=2, frustratedCount=0}
2020-05-28 04:01:00,024+0000 category: jira.agile.work, apdex: {apdexScore=37, satisfiedCount=0, toleratingCount=3, frustratedCount=1}
2020-05-28 04:01:00,024+0000 category: jira.dashboard, apdex: {apdexScore=25, satisfiedCount=0, toleratingCount=1, frustratedCount=1}
2020-05-28 04:01:00,024+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=7, frustratedCount=0}
2020-05-28 04:01:00,025+0000 category: overall, apdex: {apdexScore=56, satisfiedCount=6, toleratingCount=13, frustratedCount=3}
2020-05-28 05:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-28 05:01:00,003+0000 category: jira.agile.work, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 05:01:00,003+0000 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2020-05-28 05:01:00,003+0000 category: overall, apdex: {apdexScore=71, satisfiedCount=4, toleratingCount=2, frustratedCount=1}
2020-05-28 05:01:00,003+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 05:01:00,004+0000 category: jira.dialog.open.editgroups_link-dialog, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-28 06:01:00,001+0000 category: overall, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 06:01:00,002+0000 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 07:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 07:01:00,002+0000 category: overall, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 08:01:00,001+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-28 08:01:00,001+0000 category: jira.dialog.open.edit-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 08:01:00,001+0000 category: jira.dashboard, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=3, frustratedCount=0}
2020-05-28 08:01:00,001+0000 category: jira.agile.work, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
2020-05-28 08:01:00,001+0000 category: jira.dialog.open.delete-permission-dialog, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-28 08:01:00,001+0000 category: jira.dialog.open.add-permission-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=4, frustratedCount=0}
2020-05-28 08:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-28 08:01:00,001+0000 category: jira.header.menu.issues, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=4, frustratedCount=0}
2020-05-28 08:01:00,002+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=58, satisfiedCount=3, toleratingCount=1, frustratedCount=2}
2020-05-28 08:01:00,002+0000 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=4, toleratingCount=0, frustratedCount=0}
2020-05-28 08:01:00,002+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=3, frustratedCount=0}
2020-05-28 08:01:00,002+0000 category: overall, apdex: {apdexScore=65, satisfiedCount=15, toleratingCount=16, frustratedCount=4}
2020-05-28 08:01:00,002+0000 category: jira.header.menu.agile, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 09:01:00,001+0000 category: jira.dialog.open.add-permission-dialog, apdex: {apdexScore=50, satisfiedCount=1, toleratingCount=2, frustratedCount=1}
2020-05-28 09:01:00,001+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2020-05-28 09:01:00,001+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 09:01:00,001+0000 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-28 09:01:00,001+0000 category: jira.agile.work, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2020-05-28 09:01:00,001+0000 category: jira.dialog.open.delete-permission-dialog, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-28 09:01:00,002+0000 category: overall, apdex: {apdexScore=70, satisfiedCount=9, toleratingCount=3, frustratedCount=3}
2020-05-28 09:01:00,002+0000 category: jira.header.menu.help, apdex: {apdexScore=100, satisfiedCount=2, toleratingCount=0, frustratedCount=0}
2020-05-28 10:01:00,001+0000 category: jira.projects.versions, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=1}
2020-05-28 10:01:00,001+0000 category: jira.project.issue.nav-detail, apdex: {apdexScore=58, satisfiedCount=1, toleratingCount=5, frustratedCount=0}
2020-05-28 10:01:00,001+0000 category: jira.dialog.open.create-issue-dialog, apdex: {apdexScore=66, satisfiedCount=3, toleratingCount=6, frustratedCount=0}
2020-05-28 10:01:00,001+0000 category: jira.dashboard, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 10:01:00,001+0000 category: jira.agile.work, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=3, frustratedCount=0}
2020-05-28 10:01:00,001+0000 category: jira.dialog.open.delete-permission-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 10:01:00,001+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 10:01:00,001+0000 category: jira.dialog.open.add-permission-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=2, frustratedCount=0}
2020-05-28 10:01:00,002+0000 category: jira.header.menu.issues, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 10:01:00,003+0000 category: jira.project.issue.view-issue, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 10:01:00,003+0000 category: jira.header.menu.profile, apdex: {apdexScore=100, satisfiedCount=3, toleratingCount=0, frustratedCount=0}
2020-05-28 10:01:00,003+0000 category: jira.dialog.open.editgroups_admin-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 10:01:00,003+0000 category: jira.dialog.open.whereismycf-dialog, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 10:01:00,003+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-28 10:01:00,003+0000 category: overall, apdex: {apdexScore=66, satisfiedCount=12, toleratingCount=21, frustratedCount=1}
2020-05-28 10:01:00,006+0000 category: jira.dialog.open.delete-issue-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-28 10:01:00,006+0000 category: jira.dialog.open.edituser_link_admin-dialog, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-05-29 04:01:00,026+0000 category: jira.project.issue.nav-detail, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-29 04:01:00,028+0000 category: overall, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=2, frustratedCount=0}
2020-05-29 04:01:00,028+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-29 05:01:00,001+0000 category: jira.project.issue.nav-detail, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-05-29 05:01:00,003+0000 category: overall, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-06-16 13:01:00,023+0000 category: jira.header.menu.admin, apdex: {apdexScore=100, satisfiedCount=5, toleratingCount=0, frustratedCount=0}
2020-06-16 13:01:00,025+0000 category: jira.header.menu.projects, apdex: {apdexScore=50, satisfiedCount=0, toleratingCount=1, frustratedCount=0}
2020-06-16 13:01:00,026+0000 category: overall, apdex: {apdexScore=72, satisfiedCount=6, toleratingCount=1, frustratedCount=2}
2020-06-16 13:01:00,026+0000 category: jira.header.menu.help, apdex: {apdexScore=100, satisfiedCount=1, toleratingCount=0, frustratedCount=0}
2020-06-16 13:01:00,026+0000 category: jira.dashboard, apdex: {apdexScore=0, satisfiedCount=0, toleratingCount=0, frustratedCount=2}
